country,city,address_1,reason_for_recall,address_2,product_quantity,code_info,center_classification_date,distribution_pattern,state,product_description,report_date,classification,recalling_firm,recall_number,initial_firm_notification,event_id,termination_date,more_code_info,recall_initiation_date,postal_code,voluntary_mandated,status,openfda.pharm_class_cs,openfda.pharm_class_moa,openfda.pharm_class_pe,openfda.original_packager_product_ndc,application_number,brand_name,generic_name,manufacturer_name,product_ndc,route,substance_name,rxcui,spl_id,spl_set_id,package_ndc,is_original_packager,upc,nui,pharm_class_epc,unii
United States,East Windsor,279 Princeton Hightstown Rd,"CGMP Deviations: N-nitrosodimethylamine (NDMA) has been detected in Ranitidine tablets, capsules and syrups.",,"134,160 bottles",RA3018001-A Jul 2020  RA3018002-A Jul-2020  RA3018003-A Jul 2020  RA3018004-A Aug 2020  RA3018005-A Aug 2020  RA3018006-A Aug 2020  RA3018007-A Sep 2020  RA3018008-A  Sep 2020  RA3018009-A Sep 2020  RA3018010-A Oct 2020  RA3019001-A Jan 2021  RA3019002-A Jan 2021  RA3019003-A May 2021,20191126,nationwide,NJ,"Aurobindo Ranitidine Capsules 300 mg, 30-count bottle, Rx Only Distributed by: Aurobindo Pharma USA, Inc. 279 Princeton-Hightstown Road East Windsor, NJ 08520  NDC 59651-145-30",20191204,Class II,AuroMedics Pharma LLC,D-0528-2020,Press Release,84218,,,20191106,08520-1401,Voluntary: Firm initiated,Ongoing,,,,,'ANDA211058','RANITIDINE','RANITIDINE','Aurobindo Pharma Limited',"'59651-144', '59651-145'",'ORAL','RANITIDINE HYDROCHLORIDE',"'198190', '198192'",'80acf18a-fb08-4139-b048-eac4d14bd906','e2061ebe-29df-442f-bd4a-6bfa4c148ffe',"'59651-144-60', '59651-144-05', '59651-145-30'",True,nan,nan,nan,'BK76465IHM'
United States,Bridgewater,55 Corporate Dr,Labeling: Incorrect or Missing Package Insert: authorized generic product was packaged with the incorrect insert for the brand name product Clolar (clofarabine) injection.,,422 vials,"Lot #: K5006Y02, Exp 31AUG18",20171030,Nationwide in the USA,NJ,"Clofarabine injection, 20 mg/20 mL, 20 mL Single-Use Vial, Rx only, Mfd by: Teva Pharmachemle, Swensweg 5, Haarlem, The Netherlands; Mfd for: Winthrop U.S., a business of sanofi-aventis U.S. LLC, Bridgewater, NJ 08807; NDC 0955-1746-01.",20171108,Class III,Sanofi-Aventis U.S. LLC,D-0056-2018,Letter,78232,20200513,,20171013,08807-1265,Voluntary: Firm initiated,Terminated,,['Nucleic Acid Synthesis Inhibitors [MoA]'],,,'NDA021673','CLOFARABINE','CLOFARABINE','Winthrop U.S.','0955-1746','INTRAVENOUS','CLOFARABINE','486419','7884f725-26dc-4c9e-b290-a440d047a547','7912ab7f-efe0-460c-9eb9-7d2c7d37548a','0955-1746-01',True,nan,"'N0000000233', 'N0000175595'",'Nucleoside Metabolic Inhibitor EPC','762RDY0Y2H'
United States,Edison,399 Thornall St,Temperature Abuse; various products were not stored at Controlled Room Temperature as per USP guidelines during shipping,,68 bottles,Lot NVWG Exp - 11/30/2016,20140731,Nationwide,NJ,"Welchol Tablets (colesevelam HCl) 625 mg, 180 count bottles, Rx Only, Manufactured for: Daiichi Sankyo, Inc., Parsippany, NJ 07054 ---NDC 65597-701-18",20140806,Class II,Daiichi Sankyo Pharma Development,D-1505-2014,Telephone,68793,20150316,,20140712,08837-2236,Voluntary: Firm Initiated,Terminated,,,,,'NDA021176','WELCHOL','COLESEVELAM HYDROCHLORIDE','Daiichi Sankyo Inc.',"'65597-701', '65597-902'",'ORAL','COLESEVELAM HYDROCHLORIDE',"'866905', '866907', '866910', '866912'",'266a7143-c10d-40ee-b217-e565db2295b7','4a06d3b2-7229-4398-baba-5d0a72f63821',"'65597-701-18', '65597-902-30'",True,'0365597902305',nan,nan,'P4SG24WI5Q'
United States,Pennington,73 Route 31 N,Failed Dissolution Specifications; 6 month time point,,"16,356 bottles","a) MS1667 exp 01/2018; M601708, exp 03/2018;       b) MS1667, MS1668, MS1669, exp 01/2018; M601515, M601516, exp 03/2018; M602920, M602921, M605399, M602937, M602938, M602939, exp 04/2018; M603988, exp 06/2018",20161220,Nationwide,NJ,"BuPROPion Hydrochloride Extended-Release Tablets (XL),  300 mg, Rx Only, a) 30 count bottles (NDC 68382-354-06) and  b) 500 count bottles (NDC 68382-354-05), Manufactured by: Cadila Healthcare LTD. Ahmedabad, India Distributed by: Zydus Pharmaceuticals USA Inc. Pennington, NJ 08534",20161228,Class III,Zydus Pharmaceuticals USA Inc,D-0207-2017,Letter,75764,20200723,,20161102,08534-3601,Voluntary: Firm initiated,Terminated,,,,,'ANDA201567','BUPROPION','BUPROPION','Zydus Pharmaceuticals (USA) Inc.',"'68382-353', '68382-354'",'ORAL','BUPROPION HYDROCHLORIDE',"'993541', '993557'",'3a335702-b823-4e62-abba-f7743c3c1b51','8d937ca3-3351-40f1-8192-348ba0c68162',"'68382-354-06', '68382-354-16', '68382-354-05', '68382-354-10', '68382-353-06', '68382-353-16', '68382-353-05', '68382-353-10'",True,'0368382353054',nan,nan,'ZG7E5POY8O'
India,"Jadcherla Mandal, Mahaboob Nagar",Unit V (SEZ Unit I in APIIC SEZ),CGMP Deviations: Carcinogen impurity detected in API used to manufacture drug product.,"Surv. No. 439-441, 458, Polepally Vill.","441,408 bottles",All Lots with expiration dates 7/2018 to 6/2020,20180823,Nationwide,,"Camber Pharmaceuticals, Inc. Valsartan Tablets, USP, 160 mg, 90 tablets Rx Only   Manufactured for: Camber Pharmaceuticals, Inc. Piscataway NJ 08854   By: Hetero Hetero Labs Limited, Unit V, Pollepally  Jadcherla Mahabubnagar - 509-301, India.   NDC 31722-747-90  UPC 331722747905",20180829,Class II,Hetero Labs Limited Unit V,D-1115-2018,Letter,80773,,,20180808,,Voluntary: Firm initiated,Ongoing,,['Angiotensin 2 Receptor Antagonists [MoA]'],,,'ANDA203311','VALSARTAN','VALSARTAN',"'Camber Pharmaceuticals, Inc.'","'31722-745', '31722-746', '31722-747', '31722-748'",'ORAL','VALSARTAN',"'349199', '349200', '349201', '349483'",'222acee8-e4e7-4ed3-8965-47a1cde2298c','0ff36e83-b307-42db-a2ab-bae3f6805c20',"'31722-745-30', '31722-745-90', '31722-745-05', '31722-745-31', '31722-745-32', '31722-746-30', '31722-746-90', '31722-746-05', '31722-746-31', '31722-746-32', '31722-747-30', '31722-747-90', '31722-747-05', '31722-747-31', '31722-747-32', '31722-748-30', '31722-748-90', '31722-748-05', '31722-748-31', '31722-748-32', '3317227479'",True,'331722747905',"'N0000000070', 'N0000175561'",'Angiotensin 2 Receptor Blocker EPC','80M03YXJ7I'
United States,Edmond,14844 Bristol Park Blvd,Lack of Assurance of Sterility,,,Lots: C238 BUD: 11/14/2018,20181107,Nationwide.,OK,"Estradiol 25mg pellet, 1 count (NDC 69761-025-01), 6 count (NDC 69761-025-06), 12 count (NDC 69761-025-12), and 30 count (NDC 69761-025-30) vials, Rx Only, Qualgen, LLC, Edmond, OK 73013",20181114,Class II,"Qualgen, LLC",D-0229-2019,Letter,81346,20200604,,20181017,73013-1891,Voluntary: Firm initiated,Terminated,['Estradiol Congeners [CS]'],['Estrogen Receptor Agonists [MoA]'],,,nan,'ESTRADIOL','ESTRADIOL','Qualgen LLC','69761-025','ORAL','ESTRADIOL',nan,'d0c7055e-aa47-4b03-b918-d1edae2bd0bc','f5823883-cbfd-422a-96a9-67ac6ea81c23',"'69761-025-12', '69761-025-30', '69761-025-01', '69761-025-06'",True,nan,"'M0447348', 'N0000175825', 'N0000000100'",'Estrogen EPC','4TI98Z838E'
United States,Tampa,8500 Hidden River Pkwy,Labeling: Incorrect or Missing Package Insert: Package insert is missing updates compared with reference drug insert.,,"119,393 Bottles","Lot #:199001, Expiry: 01/2016; Lot #: 222591, Expiry: 04/2016; Lot #: 224491, Expiry: 06/2016; Lot #: 229241, Expiry: 08/2016; Lot #: 232941, Expiry: 11/2016; Lot #: 239921, Expiry: 02/2017; Lot #: 241701, Expiry: 04/2017; Lot #: 246851, Expiry: 07/2017.",20160128,U.S. Nationwide including Puerto Rico.,FL,"Tropicamide Ophthalmic Solution USP, 0.5%, Packaged in 15 mL Bottles, Rx Only. Bausch and Lomb Incorporated, Tampa, FL, 33637. NDC: 24208-590-64.",20160203,Class III,"Bausch & Lomb, Inc.",D-0646-2016,Letter,73032,20200106,,20160118,33637-1014,Voluntary: Firm initiated,Terminated,,['Cholinergic Antagonists [MoA]'],,,'ANDA040064','TROPICAMIDE','TROPICAMIDE','Bausch & Lomb Incorporated',"'24208-585', '24208-590'",'OPHTHALMIC','TROPICAMIDE',"'313521', '314238'",'3f2f0e6a-c47b-4e2d-858e-3ea68d5a270e','892b78c8-36bc-47d3-850e-502899b48fb9',"'24208-590-64', '24208-585-59', '24208-585-64'",True,nan,"'N0000175574', 'N0000175370'",'Anticholinergic EPC','N0A3Z5XTC6'
United States,Plainsboro,666 Plainsboro Rd Bldg 200 Ste 230,CGMP Deviations: impurity for N-Nitroso-N-methyl-4-aminobutyric acid (NMBA) detected in the active pharmaceutical ingredient (API) used to manufacture finished products.,,"29106 bottles (2,619,540 tablets)",BLL801A Dec-19  BLL802A Dec-19  BLL803A Dec-19,20190709,Nationwide,NJ,"Losartan Potassium and Hydrochlorothiazide Tablets, USP 100 mg/12.5 mg 90 Tablets, USP  Manufactured for: Macleods Pharma USA inc. Plainsboro, NJ 08536   Manufactured by: Macleods Pharmaceuticals, Ltd. Baddi, Himachal Pradesh, INDIA     NDC 33342-051-10",20190717,Class II,Macleods Pharma Usa Inc,D-1460-2019,Letter,83151,,,20190620,08536-0009,Voluntary: Firm initiated,Ongoing,['Thiazides [CS]'],,['Increased Diuresis [PE]'],,'ANDA202289','LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE','LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE','Macleods Pharmaceuticals Limited',"'33342-050', '33342-051', '33342-052'",'ORAL',"'LOSARTAN POTASSIUM', 'HYDROCHLOROTHIAZIDE'","'979464', '979468', '979471'",'d5579695-0912-403b-9a85-33522bc98112','a04b5622-2c49-4d61-92b1-5dc523af7a24',"'33342-050-07', '33342-050-10', '33342-050-44', '33342-050-12', '33342-051-07', '33342-051-10', '33342-051-44', '33342-051-12', '33342-052-07', '33342-052-10', '33342-052-44', '33342-052-12'",True,"'0333342051448', '0333342051103', '0333342051073', '0333342052445', '0333342050441', '0333342052100', '0333342050106', '0333342050076', '0333342052070'","'N0000175359', 'N0000175419', 'M0471776'",'Thiazide Diuretic EPC',"'3ST302B24A', '0J48LPH2TH'"
United States,Rockford,4901 Hiawatha Dr,Presence of Particulate Matter,,"2,455 vials","Lot #: 7801221, 7801222, Exp 03/16",20150814,Nationwide and Puerto Rico,IL,"Gemcitabine for Injection, USP, 2 g*/vial, Lyophilized powder in a Single-Use Vial, Rx only, Manufactured for: Mylan Institutional LLC, Rockford, IL  61103, Made in India, NDC 67457-463-02, UPC 3 67457 46302 5.",20150826,Class I,Mylan Institutional LLC,D-1333-2015,Letter,71004,20160520,,20150323,61103-1287,Voluntary: Firm initiated,Terminated,,,,,'ANDA200145','GEMCITABINE HYDROCHLORIDE','GEMCITABINE HYDROCHLORIDE','Mylan Institutional LLC',"'67457-462', '67457-464', '67457-463'",'INTRAVENOUS','GEMCITABINE HYDROCHLORIDE',"'1719000', '1719003', '1719005'",'7904b337-7a91-46e2-9cb2-c73f1f2b36bd','fdf52dca-732c-4a1a-9475-e9e1e3af4ce8',"'67457-464-20', '67457-462-01', '67457-463-02'",True,"'0367457463025', '0367457462011', '367457463025'",nan,nan,'U347PV74IL'
United States,Edmond,14844 Bristol Park Blvd,Lack of Assurance of Sterility,,,Lots: D007 BUD: 01/09/2019; D060 BUD: 3/14/2019,20181107,Nationwide.,OK,"Estradiol 6 mg pellet, 1 count (NDC 69761-006-01), 6 count (NDC 69761-006-06), 12 count (NDC 69761-006-12), and 30 count (NDC 69761-006-30) vials, Rx Only Qualgen, LLC, Edmond, OK 73013",20181114,Class II,"Qualgen, LLC",D-0230-2019,Letter,81346,20200604,,20181017,73013-1891,Voluntary: Firm initiated,Terminated,['Estradiol Congeners [CS]'],['Estrogen Receptor Agonists [MoA]'],,,nan,'ESTRADIOL','ESTRADIOL','Qualgen LLC','69761-006','ORAL','ESTRADIOL',nan,'abe65034-0a2d-4a1f-8452-25f211563f2f','1536dc3b-ec2a-40a8-90b6-42e1d4f5326b',"'69761-006-12', '69761-006-30', '69761-006-01', '69761-006-06'",True,nan,"'M0447348', 'N0000175825', 'N0000000100'",'Estrogen EPC','4TI98Z838E'
